sigma,r_annual,strike,price_exact,price_approx
0.162,0.005,312.928,78.525,78.495
0.162,0.005,391.16,10.52,8.343
0.162,0.005,469.392,0.019,0.001
0.162,0.01,312.928,78.817,78.545
0.162,0.01,391.16,10.751,8.452
0.162,0.01,469.392,0.02,0.001
0.162,0.02,312.928,79.396,78.644
0.162,0.02,391.16,11.222,8.67
0.162,0.02,469.392,0.023,0.001
0.162,0.05,312.928,81.109,78.929
0.162,0.05,391.16,12.701,9.341
0.162,0.05,469.392,0.032,0.001
0.162,0.1,312.928,83.873,79.372
0.162,0.1,391.16,15.369,10.511
0.162,0.1,469.392,0.057,0.002
0.162,0.2,312.928,89.081,80.189
0.162,0.2,391.16,21.353,13.055
0.162,0.2,469.392,0.162,0.005
0.189,0.005,312.928,78.529,78.572
0.189,0.005,391.16,12.23,9.734
0.189,0.005,469.392,0.091,0.009
0.189,0.01,312.928,78.821,78.622
0.189,0.01,391.16,12.458,9.84
0.189,0.01,469.392,0.095,0.009
0.189,0.02,312.928,79.4,78.72
0.189,0.02,391.16,12.92,10.052
0.189,0.02,469.392,0.104,0.009
0.189,0.05,312.928,81.111,79.004
0.189,0.05,391.16,14.361,10.7
0.189,0.05,469.392,0.137,0.012
0.189,0.1,312.928,83.875,79.442
0.189,0.1,391.16,16.93,11.818
0.189,0.1,469.392,0.211,0.016
0.189,0.2,312.928,89.082,80.226
0.189,0.2,391.16,22.611,14.204
0.189,0.2,469.392,0.469,0.031
0.216,0.005,312.928,78.551,78.661
0.216,0.005,391.16,13.94,11.131
0.216,0.005,469.392,0.26,0.039
0.216,0.01,312.928,78.841,78.711
0.216,0.01,391.16,14.165,11.234
0.216,0.01,469.392,0.27,0.04
0.216,0.02,312.928,79.419,78.809
0.216,0.02,391.16,14.619,11.44
0.216,0.02,469.392,0.29,0.042
0.216,0.05,312.928,81.125,79.091
0.216,0.05,391.16,16.027,12.066
0.216,0.05,469.392,0.36,0.05
0.216,0.1,312.928,83.884,79.525
0.216,0.1,391.16,18.513,13.14
0.216,0.1,469.392,0.508,0.065
0.216,0.2,312.928,89.085,80.287
0.216,0.2,391.16,23.948,15.396
0.216,0.2,469.392,0.965,0.106
0.27,0.005,312.928,78.726,78.9
0.27,0.005,391.16,17.358,13.944
0.27,0.005,469.392,0.989,0.254
0.27,0.01,312.928,79.011,78.949
0.27,0.01,391.16,17.576,14.041
0.27,0.01,469.392,1.015,0.259
0.27,0.02,312.928,79.578,79.045
0.27,0.02,391.16,18.016,14.235
0.27,0.02,469.392,1.067,0.268
0.27,0.05,312.928,81.258,79.321
0.27,0.05,391.16,19.367,14.822
0.27,0.05,469.392,1.238,0.299
0.27,0.1,312.928,83.979,79.744
0.27,0.1,391.16,21.722,15.816
0.27,0.1,469.392,1.573,0.355
0.27,0.2,312.928,89.133,80.469
0.27,0.2,391.16,26.77,17.864
0.27,0.2,469.392,2.463,0.495
0.324,0.005,312.928,79.186,79.277
0.324,0.005,391.16,20.772,16.782
0.324,0.005,469.392,2.261,0.783
0.324,0.01,312.928,79.461,79.323
0.324,0.01,391.16,20.984,16.873
0.324,0.01,469.392,2.304,0.793
0.324,0.02,312.928,80.01,79.415
0.324,0.02,391.16,21.41,17.055
0.324,0.02,469.392,2.392,0.814
0.324,0.05,312.928,81.636,79.676
0.324,0.05,391.16,22.713,17.605
0.324,0.05,469.392,2.673,0.879
0.324,0.1,312.928,84.28,80.076
0.324,0.1,391.16,24.961,18.528
0.324,0.1,469.392,3.197,0.995
0.324,0.2,312.928,89.318,80.754
0.324,0.2,391.16,29.711,20.404
0.324,0.2,469.392,4.481,1.264
0.378,0.005,312.928,79.978,79.859
0.378,0.005,391.16,24.182,19.645
0.378,0.005,469.392,4.004,1.671
0.378,0.01,312.928,80.241,79.901
0.378,0.01,391.16,24.387,19.73
0.378,0.01,469.392,4.064,1.688
0.378,0.02,312.928,80.765,79.984
0.378,0.02,391.16,24.801,19.901
0.378,0.02,469.392,4.185,1.721
0.378,0.05,312.928,82.321,80.222
0.378,0.05,391.16,26.059,20.414
0.378,0.05,469.392,4.565,1.823
0.378,0.1,312.928,84.86,80.584
0.378,0.1,391.16,28.214,21.272
0.378,0.1,469.392,5.256,2.003
0.378,0.2,312.928,89.723,81.192
0.378,0.2,391.16,32.72,22.994
0.378,0.2,469.392,6.862,2.399
0.433,0.005,312.928,81.085,80.677
0.433,0.005,391.16,27.586,22.533
0.433,0.005,469.392,6.124,2.903
0.433,0.01,312.928,81.335,80.713
0.433,0.01,391.16,27.786,22.613
0.433,0.01,469.392,6.198,2.925
0.433,0.02,312.928,81.832,80.785
0.433,0.02,391.16,28.187,22.772
0.433,0.02,469.392,6.347,2.969
0.433,0.05,312.928,83.31,80.992
0.433,0.05,391.16,29.403,23.25
0.433,0.05,469.392,6.811,3.106
0.433,0.1,312.928,85.728,81.304
0.433,0.1,391.16,31.476,24.044
0.433,0.1,469.392,7.638,3.342
0.433,0.2,312.928,90.381,81.819
0.433,0.2,391.16,35.769,25.626
0.433,0.2,469.392,9.497,3.85
